straat,huisnummer,huisletter,huistoevoeging,woonplaats,postcode,oppervlakte,gebruiksdoel,full_address
Francis Picabiastraat,11,,,Rotterdam,3059 RP,106,woonfunctie,Francis Picabiastraat 11   3059 RP Rotterdam
Narcissenveld,9,,,Castricum,1901 LH,77,woonfunctie,Narcissenveld 9   1901 LH Castricum
Vezelstraat,23,,,Reusel,5541 VN,125,woonfunctie,Vezelstraat 23   5541 VN Reusel
Hertespoor,14,,,Ede,6713 JD,146,woonfunctie,Hertespoor 14   6713 JD Ede
Heernisseweg,69,,,Goes,4461PS,93,woonfunctie,Heernisseweg 69   4461PS Goes
Nieuwenhovenseweg,7,,,Middelburg,4333 AP,159,woonfunctie,Nieuwenhovenseweg 7   4333 AP Middelburg
Karel Doormanstraat,9,,,Wieringerwerf,1771 AV,119,woonfunctie,Karel Doormanstraat 9   1771 AV Wieringerwerf
Doozemansteeg,1,,RD2,Collendoorn,7798 CH,30,logiesfunctie,Doozemansteeg 1  RD2 7798 CH Collendoorn
Monseigneur Kierkelspln,19,,,Baexem,6095 BK,1203,bijeenkomstfunctie,Monseigneur Kierkelspln 19   6095 BK Baexem
Burgemeester Rensstraat,51,,,Goirle,5051 CM,107,woonfunctie,Burgemeester Rensstraat 51   5051 CM Goirle
Prins Mauritsstraat,23,,,Middelburg,4332TV,76,woonfunctie,Prins Mauritsstraat 23   4332TV Middelburg
Adriaen Brouwerstraat,47,,,Boxmeer,5831VJ,185,woonfunctie,Adriaen Brouwerstraat 47   5831VJ Boxmeer
Getijmolenerf,119,,,Gouda,2807GK,121,woonfunctie,Getijmolenerf 119   2807GK Gouda
De Krijgsman,13,,,Uitgeest,1911KG,87,woonfunctie,De Krijgsman 13   1911KG Uitgeest
Sitwâl,3,,,Dokkum,9103 PA,186,woonfunctie,Sitwâl 3   9103 PA Dokkum
De Zes,5,,,Den Burg,1791EW,102,woonfunctie,De Zes 5   1791EW Den Burg
Statenweg,128,A,,Rotterdam,3039JM,147,winkelfunctie,Statenweg 128 A  3039JM Rotterdam
